
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      375   0.424110638298        0.503813581473E-002   0.800381358172E-001
      376   0.435891489362        0.503813581473E-002   0.800381358172E-001
      377   0.447672340426        0.503813581473E-002   0.800381358172E-001
      378   0.459453191489        0.503813581473E-002   0.800381358172E-001
      379   0.471234042553        0.503813581473E-002   0.800381358172E-001
      380   0.483014893617        0.503813581473E-002   0.800381358172E-001

   NODE        X                   Y                   Z
      381   0.494795744681        0.503813581473E-002   0.800381358172E-001
      382   0.506576595745        0.503813581473E-002   0.800381358172E-001
      383   0.518357446809        0.503813581473E-002   0.800381358172E-001
      384   0.530138297872        0.503813581473E-002   0.800381358172E-001
      385   0.541919148936        0.503813581473E-002   0.800381358172E-001
      386   0.589042553191E-002   0.356249999774E-002   0.811704310033E-001
      387   0.117808510638E-001   0.356249999774E-002   0.811704310033E-001
      388   0.176712765957E-001   0.356249999774E-002   0.811704310033E-001
      389   0.235617021277E-001   0.356249999774E-002   0.811704310033E-001
      390   0.294521276596E-001   0.356249999774E-002   0.811704310033E-001
      391   0.353425531915E-001   0.356249999774E-002   0.811704310033E-001
      392   0.412329787234E-001   0.356249999774E-002   0.811704310033E-001
      393   0.471234042553E-001   0.356249999774E-002   0.811704310033E-001
      394   0.530138297872E-001   0.356249999774E-002   0.811704310033E-001
      395   0.589042553191E-001   0.356249999774E-002   0.811704310033E-001
      396   0.647946808511E-001   0.356249999774E-002   0.811704310033E-001
      397   0.706851063830E-001   0.356249999774E-002   0.811704310033E-001
      398   0.765755319149E-001   0.356249999774E-002   0.811704310033E-001
      399   0.824659574468E-001   0.356249999774E-002   0.811704310033E-001
      400   0.883563829787E-001   0.356249999774E-002   0.811704310033E-001

   NODE        X                   Y                   Z
      401   0.942468085106E-001   0.356249999774E-002   0.811704310033E-001
      402   0.100137234042        0.356249999774E-002   0.811704310033E-001
      403   0.106027659574        0.356249999774E-002   0.811704310033E-001
      404   0.111918085106        0.356249999774E-002   0.811704310033E-001
      405   0.117808510638        0.356249999774E-002   0.811704310033E-001
      406   0.123698936170        0.356249999774E-002   0.811704310033E-001
      407   0.129589361702        0.356249999774E-002   0.811704310033E-001
      408   0.135479787234        0.356249999774E-002   0.811704310033E-001
      409   0.141370212766        0.356249999774E-002   0.811704310033E-001
      410   0.147260638298        0.356249999774E-002   0.811704310033E-001
      411   0.153151063830        0.356249999774E-002   0.811704310033E-001
      412   0.159041489362        0.356249999774E-002   0.811704310033E-001
      413   0.164931914894        0.356249999774E-002   0.811704310033E-001
      414   0.170822340426        0.356249999774E-002   0.811704310033E-001
      415   0.176712765957        0.356249999774E-002   0.811704310033E-001
      416   0.182603191489        0.356249999774E-002   0.811704310033E-001
      417   0.188493617021        0.356249999774E-002   0.811704310033E-001
      418   0.194384042553        0.356249999774E-002   0.811704310033E-001
      419   0.200274468085        0.356249999774E-002   0.811704310033E-001
      420   0.206164893617        0.356249999774E-002   0.811704310033E-001

   NODE        X                   Y                   Z
      421   0.212055319149        0.356249999774E-002   0.811704310033E-001
      422   0.217945744681        0.356249999774E-002   0.811704310033E-001
      423   0.223836170213        0.356249999774E-002   0.811704310033E-001
      424   0.229726595745        0.356249999774E-002   0.811704310033E-001
      425   0.235617021277        0.356249999774E-002   0.811704310033E-001
      426   0.241507446809        0.356249999774E-002   0.811704310033E-001
      427   0.247397872340        0.356249999774E-002   0.811704310033E-001
      428   0.253288297872        0.356249999774E-002   0.811704310033E-001
      429   0.259178723404        0.356249999774E-002   0.811704310033E-001
      430   0.265069148936        0.356249999774E-002   0.811704310033E-001
      431   0.270959574468        0.356249999774E-002   0.811704310033E-001
